Procedure Description,Patient Class (Inpatient/Outpatient),Code,Quantity,Rev Code,Gross Charge,Discounted Cash Price (Uninsured Discount 35%),Derived Negotiated Rate Estimate Min,Derived Negotiated Rate Estimate Max,Derived Negotiated Rate Estimate Min.1,Derived Negotiated Rate Estimate Max.1,Derived Negotiated Rate Estimate Min.2,Derived Negotiated Rate Estimate Max.2,HCPCS,HCPCS description
Hc Inj For Retrograde Urethrocystography,Outpatient,CPT® 51610,1,0361 - MINOR SURGERY,2005.0,1303.25,1656.13,1846.61,320.8,380.95,,,51610,Injection for bladder x-ray
Hc Irrig Bladder Simple And Or Instillation,Outpatient,CPT® 51700,1,0361 - MINOR SURGERY,632.0,410.8,522.03,582.07,101.12,120.08,266.99,266.99,51700,Irrigation of bladder
Hc Insertion Catheter Straight,Outpatient,CPT® 51701,1,0361 - MINOR SURGERY,354.0,230.1,292.4,326.03,56.64,67.26,112.31,112.31,51701,Insert bladder catheter
Hc Insertion Catheter Foley,Outpatient,CPT® 51702,1,0361 - MINOR SURGERY,434.0,282.1,358.48,399.71,69.44,82.46000000000001,112.31,112.31,51702,Insert temp bladder cath
Hc Insertion Catheter Complicated,Outpatient,CPT® 51703,1,0450 - EMERGENCY ROOM,538.0,349.7,444.39,495.5,86.08,102.22,139.99,139.99,51703,Insert bladder cath complex
Hc Change Cysto Tube Simple,Outpatient,CPT® 51705,1,0361 - MINOR SURGERY,2271.0,1476.15,1875.85,2091.59,363.36,431.49,266.99,266.99,51705,Change of bladder tube
Hc Change Cysto Tube Complicated,Outpatient,CPT® 51710,1,0361 - MINOR SURGERY,5582.0,3628.3,4610.73,5141.02,893.12,1060.58,576.6,576.6,51710,Change of bladder tube
Hc Chemo Bladder Instillation,Outpatient,CPT® 51720,1,0761 - TREATMENT ROOM,1074.0,698.1,887.12,989.15,171.84,204.06,266.99,266.99,51720,Treatment of bladder lesion
Hc Cystourethroscopy,Outpatient,CPT® 52000,1,0361 - MINOR SURGERY,3274.0,2128.1,2704.32,3015.35,523.84,622.0600000000001,576.6,576.6,52000,Cystoscopy
Hc Cystourethroscopy W Irrigation,Outpatient,CPT® 52001,1,0361 - MINOR SURGERY,3759.0,2443.35,3104.93,3462.04,601.44,714.21,,,52001,Cystoscopy removal of clots
Hc Cysto W Removal Fb Simple,Outpatient,CPT® 52310,1,0361 - MINOR SURGERY,5631.0,3660.15,4651.21,5186.15,900.96,1069.89,1798.7,1798.7,52310,Cystoscopy and treatment
Hc Cystoscopy W Ins Ureteral Stent,Outpatient,CPT® 52332,1,0361 - MINOR SURGERY,6223.0,4044.9500000000003,5140.2,5731.38,995.6800000000001,1182.3700000000001,,,52332,Cystoscopy and treatment
Hc Cystoscopy W Ureteroscopy,Outpatient,CPT® 52351,1,0361 - MINOR SURGERY,5854.0,3805.1,4835.4,5391.53,936.64,1112.26,3086.14,3086.14,52351,Cystouretero & or pyeloscope
Hc Unlisted Procedure Urinary System,Outpatient,CPT® 53899,1,0361 - MINOR SURGERY,1398.0,908.7,1154.75,1287.56,223.68,265.62,266.99,266.99,53899,Urology surgery procedure
Hc Circumcision,Outpatient,CPT® 54150,1,0361 - MINOR SURGERY,985.0,640.25,813.61,907.19,157.6,187.15,1798.7,1798.7,54150,Circumcision w/regionl block
Hc Irrigation Of Corpona Cavernos,Outpatient,CPT® 54220,1,0450 - EMERGENCY ROOM,591.0,384.15000000000003,488.17,544.31,94.56,112.29,266.99,266.99,54220,Treatment of penis lesion
Hc Inj Corpora Cavernosography,Outpatient,CPT® 54230,1,0361 - MINOR SURGERY,2360.0,1534.0,1949.36,2173.56,377.6,448.4,,,54230,Prepare penis study
Hc Injection Of Corpora Cavernosa With Pharm Agent,Outpatient,CPT® 54235,1,0450 - EMERGENCY ROOM,591.0,384.15000000000003,488.17,544.31,94.56,112.29,266.99,266.99,54235,Penile injection
Hc Punc Asp Hydrocele Tunica Vag,Outpatient,CPT® 55000,1,0361 - MINOR SURGERY,673.0,437.45,555.9,619.83,107.68,127.87,623.95,623.95,55000,Drainage of hydrocele
VASECTOMY WITHOUT ANESTHESIA,Outpatient,CPT® 55250,1,0361 - MINOR SURGERY,6205.0,4033.25,5125.33,5714.81,992.8000000000001,1178.95,,,55250,Removal of sperm duct(s)
Hc Biopsy Prostate Needle,Outpatient,CPT® 55700,1,0361 - MINOR SURGERY,525.0,341.25,433.65,483.53,84.0,99.75,1798.7,1798.7,55700,Biopsy of prostate
Hc Placement Needle Transperineal Prostate,Outpatient,CPT® 55875,1,0361 - MINOR SURGERY,2174.0,1413.1000000000001,1795.72,2002.25,347.84000000000003,413.06,,,55875,Transperi needle place pros
Hc Plcmnt Interstial Dev Prostate Sngl Or Mult For Rad Therapy,Outpatient,CPT® 55876,1,0361 - MINOR SURGERY,6312.0,4102.8,5213.71,5813.35,1009.9200000000001,1199.28,,,55876,Place rt device/marker pros
HIGH INTESITY FOCUSED ULTRASOUND ABLATION OF MALIGNANT PROSTATE TRANSRECTAL,Outpatient,CPT® 55880,1,0361 - MINOR SURGERY,24604.0,15992.6,20322.9,22660.28,3936.64,4674.76,,,55880,Abltj mal prst8 tiss hifu
Hc Unlst Proc Male Genital Sys,Outpatient,CPT® 55899,1,0361 - MINOR SURGERY,591.0,384.15000000000003,488.17,544.31,94.56,112.29,,,55899,Genital surgery procedure
Hc I And D Vulva Or Perineal Abscess,Outpatient,CPT® 56405,1,0450 - EMERGENCY ROOM,740.0,481.0,611.24,681.54,118.4,140.6,282.38,282.38,56405,I & d of vulva/perineum
Hc I And D Bartholin's Gland Abscess,Outpatient,CPT® 56420,1,0450 - EMERGENCY ROOM,540.0,351.0,446.04,497.34,86.4,102.6,170.86,170.86,56420,Drainage of gland abscess
Hc Insertion Uterine Tandem Ovoid,Outpatient,CPT® 57155,1,0361 - MINOR SURGERY,3412.0,2217.8,2818.31,3142.45,545.92,648.28,,,57155,Insert uteri tandem/ovoids
Hc Insertion Vaginal Radiation Device,Outpatient,CPT® 57156,1,0361 - MINOR SURGERY,1585.0,1030.25,1309.21,1459.79,253.6,301.15,,,57156,Ins vag brachytx device
EXAM OF CERVIX INCLUDING UPPER/ADJACENT VAGINA,Outpatient,CPT® 57452,1,0361 - MINOR SURGERY,406.0,263.90000000000003,335.36,373.93,64.96000000000001,77.14,,,57452,Exam of cervix w/scope
EXAM OF CERVIX WITH BIOPSY,Outpatient,CPT® 57455,1,0361 - MINOR SURGERY,714.0,464.1,589.76,657.59,114.24000000000001,135.66,,,57455,Biopsy of cervix w/scope
Hc Biopsy Cervix,Outpatient,CPT® 57500,1,0510 - CLINIC,2303.0,1496.95,1902.28,2121.06,368.48,437.57,,,57500,Biopsy of cervix
Hc Endometrial Sampling Biopsy,Outpatient,CPT® 58100,1,0361 - MINOR SURGERY,406.0,263.90000000000003,335.36,373.93,64.96000000000001,77.14,170.86,170.86,58100,Biopsy of uterus lining
Hc Insertion Intrauterine Device,Outpatient,CPT® 58300,1,0510 - CLINIC,1397.0,908.0500000000001,1153.92,1286.64,223.52,265.43,,,58300,Insert intrauterine device
Hc Removal Intrauterine Device,Outpatient,CPT® 58301,1,0510 - CLINIC,931.0,605.15,769.01,857.45,148.96,176.89000000000001,282.38,282.38,58301,Remove intrauterine device
Hc Catheterization For Hysterosalpingogram,Outpatient,CPT® 58340,1,0361 - MINOR SURGERY,332.0,215.8,274.23,305.77,53.120000000000005,63.08,,,58340,Catheter for hysterography
Hc Introduction Catheter Fallopian Tube,Outpatient,CPT® 58345,1,0361 - MINOR SURGERY,4902.0,3186.3,4049.05,4514.74,784.32,931.38,2631.56,2631.56,58345,Reopen fallopian tube
Hc Reopen Fallopian Tube,Outpatient,CPT® 58350,1,0361 - MINOR SURGERY,9198.0,5978.7,7597.55,8471.36,1471.68,1747.6200000000001,,,58350,Reopen fallopian tube
Hc Unlisted Fem Genital Procedure,Outpatient,CPT® 58999,1,0361 - MINOR SURGERY,755.0,490.75,623.63,695.36,120.8,143.45,170.86,170.86,58999,Genital surgery procedure
Hc Amniocentesis Diagnostic,Outpatient,CPT® 59000,1,0361 - MINOR SURGERY,1205.0,783.25,995.33,1109.81,192.8,228.95,635.43,635.43,59000,Amniocentesis diagnostic
Hc Amniocentesis Therapeutic,Outpatient,CPT® 59001,1,0361 - MINOR SURGERY,617.0,401.05,509.64,568.26,98.72,117.23,282.38,282.38,59001,Amniocentesis therapeutic
Hc Cordocentisis Intrauterine,Outpatient,CPT® 59012,1,0361 - MINOR SURGERY,1614.0,1049.1000000000001,1333.16,1486.49,258.24,306.66,282.38,282.38,59012,Fetal cord puncture prenatal
Hc Chorionic Villus Sampling,Outpatient,CPT® 59015,1,0761 - TREATMENT ROOM,2447.0,1590.55,2021.22,2253.69,391.52,464.93,635.43,635.43,59015,Chorion biopsy
Hc Fetal Contraction Stress Test,Outpatient,CPT® 59020,1,0361 - MINOR SURGERY,406.0,263.90000000000003,335.36,373.93,64.96000000000001,77.14,170.86,170.86,59020,Fetal contract stress test
Hc Fetal Non Stress Test,Outpatient,CPT® 59025,1,0761 - TREATMENT ROOM,406.0,263.90000000000003,335.36,373.93,64.96000000000001,77.14,170.86,170.86,59025,Fetal non-stress test
Hc Transabdominal Amnioinfusion W Us Guid,Outpatient,CPT® 59070,1,0510 - CLINIC,2431.0,1580.15,2008.01,2238.95,388.96000000000004,461.89,282.38,282.38,59070,Transabdom amnioinfus w/us
Hc Fetal Shunt Placement W Us Guid,Outpatient,CPT® 59076,1,0510 - CLINIC,4285.0,2785.25,3539.41,3946.49,685.6,814.15,282.38,282.38,59076,Fetal shunt placement w/us
Hc Insert Cervical Dilator,Outpatient,CPT® 59200,1,0510 - CLINIC,714.0,464.1,589.76,657.59,114.24000000000001,135.66,282.38,282.38,59200,Insert cervical dilator
Hc Cerclage Cervix During Pregnancy,Outpatient,CPT® 59320,1,0361 - MINOR SURGERY,2473.0,1607.45,2042.7,2277.63,395.68,469.87,2631.56,2631.56,59320,Revision of cervix
Hc Hysterorrhaphy Ruptured Uterus,Outpatient,CPT® 59350,1,0360 - OPERATING ROOM SERVICES,3022.0,1964.3,2496.17,2783.26,483.52,574.18,,,59350,Repair of uterus
Hc Cephalic Version,Outpatient,CPT® 59412,1,0761 - TREATMENT ROOM,1760.0,1144.0,1453.76,1620.96,281.6,334.4,2631.56,2631.56,59412,Antepartum manipulation
Hc Delivery Placenta (separate Proc),Outpatient,CPT® 59414,1,0720 - LABOR ROOM/DELIVERY,878.0,570.7,725.23,808.64,140.48,166.82,2631.56,2631.56,59414,Deliver placenta
Hc Induced Del After Partial Miscarriage,Outpatient,CPT® 59855,1,0360 - OPERATING ROOM SERVICES,3025.0,1966.25,2498.65,2786.03,484.0,574.75,,,59855,Abortion
Hc Biopsy Thyroid Percutaneous Core Needle,Outpatient,CPT® 60100,1,0361 - MINOR SURGERY,701.0,455.65000000000003,579.03,645.62,112.16,133.19,623.95,623.95,60100,Biopsy of thyroid
Hc Aspiration And Or Injection Thyroid Cyst,Outpatient,CPT® 60300,1,0361 - MINOR SURGERY,701.0,455.65000000000003,579.03,645.62,112.16,133.19,623.95,623.95,60300,Aspir/inj thyroid cyst
Hc Unlisted Procedure  Endocrine System,Outpatient,CPT® 60699,1,0361 - MINOR SURGERY,1886.0,1225.9,1557.84,1737.01,301.76,358.34000000000003,,,60699,Endocrine surgery procedure
Hc Cervical Puncture W Injection,Outpatient,CPT® 61055,1,0361 - MINOR SURGERY,87.0,56.550000000000004,71.86,80.13,13.92,16.53,262.0,262.0,61055,Injection into brain canal
Hc Puncture Shunt Tube For Asp Or Inj,Outpatient,CPT® 61070,1,0361 - MINOR SURGERY,1074.0,698.1,887.12,989.15,171.84,204.06,636.61,636.61,61070,Brain canal shunt procedure
Hc Endovasc Temp Balloon Arterial Occlus Head Or Neck,Outpatient,CPT® 61623,1,0361 - MINOR SURGERY,4901.0,3185.65,4048.23,4513.82,784.16,931.19,,,61623,Endovasc tempory vessel occl
Hc Transcath Permanent Occlus Or Embol Cns,Outpatient,CPT® 61624,1,0361 - MINOR SURGERY,11932.0,7755.8,9855.83,10989.37,1909.1200000000001,2267.08,16115.15,16115.15,61624,Transcath occlusion cns
Hc Transcath Permanent Occlus Or Embol Non Cns,Outpatient,CPT® 61626,1,0361 - MINOR SURGERY,13914.0,9044.1,11492.96,12814.79,2226.2400000000002,2643.66,10074.92,10074.92,61626,Transcath occlusion non-cns
Hc Balloon Angioplasty Intracranial Percutaneous,Outpatient,CPT® 61630,1,0361 - MINOR SURGERY,4902.0,3186.3,4049.05,4514.74,784.32,931.38,,,61630,Intracranial angioplasty
Hc Stent Intracranial Transcath,Outpatient,CPT® 61635,1,0361 - MINOR SURGERY,28825.0,18736.25,23809.45,26547.83,4612.0,5476.75,,,61635,Intracran angioplsty w/stent
Hc Balloon Dilat Intracranial Vasospasm Init Vessel,Outpatient,CPT® 61640,1,0361 - MINOR SURGERY,11299.0,7344.35,9332.97,10406.38,1807.8400000000001,2146.81,,,61640,Dilate ic vasospasm init
Hc Blln Dilat Intracran Vasospasm Addl Ves Same Vas Territory,Outpatient,CPT® 61641,1,0361 - MINOR SURGERY,7351.0,4778.150000000001,6071.93,6770.27,1176.16,1396.69,,,61641,Dilat ic vspsm ea vsl sm ter
Hc Blln Dilat Intracran Vasospasm Addl Ves Diff Vas Territory,Outpatient,CPT® 61642,1,0361 - MINOR SURGERY,7351.0,4778.150000000001,6071.93,6770.27,1176.16,1396.69,,,61642,Dilat ic vspsm ea diff ter
Hc Perc Art Trans Mech Thrombectomy Or Infus For Thrombolysis Intracranial,Outpatient,CPT® 61645,1,0361 - MINOR SURGERY,15068.0,9794.2,12446.17,13877.63,2410.88,2862.92,,,61645,Perq art m-thrombect &/nfs
Hc Endo Intracranial Prolong Adm Of Pharm Agent Nonthrom W Img Initial,Outpatient,CPT® 61650,1,0361 - MINOR SURGERY,12702.0,8256.300000000001,10491.85,11698.54,2032.32,2413.38,,,61650,Evasc prlng admn rx agnt 1st
Hc Endo Intracranial Prolong Adm Of Pharm Agent Nonthrom W Img Ea Addl,Outpatient,CPT® 61651,1,0361 - MINOR SURGERY,3678.0,2390.7000000000003,3038.03,3387.44,588.48,698.82,,,61651,Evasc prlng admn rx agnt add
REVISION/REMOVAL INTRACRANIAL ELECTRODES,Outpatient,CPT® 61880,1,0361 - MINOR SURGERY,473.0,307.45,390.7,435.63,75.68,89.87,,,61880,Revise/remove neuroelectrode
REVISION/REMOVAL CRANIAL NEUROSTIM PULSE GENERATOR OR RECEIVER,Outpatient,CPT® 61888,1,0361 - MINOR SURGERY,11811.0,7677.150000000001,9755.89,10877.93,1889.76,2244.09,,,61888,Revise/remove neuroreceiver
Hc Cfs Shunt Reprogram,Outpatient,CPT® 62252,1,0361 - MINOR SURGERY,354.0,230.1,292.4,326.03,56.64,67.26,273.34,273.34,62252,Csf shunt reprogram
Hc Perc Lysis Of Adhesions Mult Sessns 1 Day,Outpatient,CPT® 62264,1,0361 - MINOR SURGERY,6398.0,4158.7,5284.75,5892.56,1023.6800000000001,1215.6200000000001,,,62264,Epidural lysis on single day
Hc Percutaneous Aspiration Intervertebral Disc,Outpatient,CPT® 62267,1,0361 - MINOR SURGERY,5974.0,3883.1,4934.52,5502.05,955.84,1135.06,623.95,623.95,62267,Interdiscal perq aspir dx
Hc Percutaneous Aspiration Spinal Cord Cyst,Outpatient,CPT® 62268,1,0361 - MINOR SURGERY,9056.0,5886.400000000001,7480.26,8340.58,1448.96,1720.64,,,62268,Drain spinal cord cyst
Hc Spinal Puncture Lumbar Diagnostic Wo Img,Outpatient,CPT® 62270,1,0361 - MINOR SURGERY,770.0,500.5,636.02,709.17,123.2,146.3,636.61,636.61,62270,Dx lmbr spi pnxr
Hc Spinal Puncture Lumbar Therapeutic Wo Img,Outpatient,CPT® 62272,1,0361 - MINOR SURGERY,1847.0,1200.55,1525.62,1701.09,295.52,350.93,636.61,636.61,62272,Ther spi pnxr drg csf
Hc Injection Epidural Of Blood Clot Or Patch,Outpatient,CPT® 62273,1,0361 - MINOR SURGERY,2345.0,1524.25,1936.97,2159.75,375.2,445.55,636.61,636.61,62273,Inject epidural patch
Hc Injection Myelogram Spinal Not C1 C2,Outpatient,CPT® 62284,1,0361 - MINOR SURGERY,949.0,616.85,783.87,874.03,151.84,180.31,,,62284,Injection for myelogram
Hc Perc Decompression 1 Or More Levels Lumbar,Outpatient,CPT® 62287,1,0361 - MINOR SURGERY,2735.0,1777.75,2259.11,2518.94,437.6,519.65,,,62287,Dcmprn px perq 1/mlt lumbar
Hc Injection For Discogram Lumbar,Outpatient,CPT® 62290,1,0361 - MINOR SURGERY,3072.0,1996.8000000000002,2537.47,2829.31,491.52,583.6800000000001,,,62290,Njx px discography lumbar
Hc Injection For Discogram Cervical Or Thoracic,Outpatient,CPT® 62291,1,0361 - MINOR SURGERY,3072.0,1996.8000000000002,2537.47,2829.31,491.52,583.6800000000001,,,62291,Njx px discography crv/thrc
Hc Inj Myelogram Cervical W  Imaging,Outpatient,CPT® 62302,1,0361 - MINOR SURGERY,2706.0,1758.9,2235.16,2492.23,432.96000000000004,514.14,717.46,717.46,62302,Myelography lumbar injection
Hc Inj Myelogram Thoracic W Imaging,Outpatient,CPT® 62303,1,0361 - MINOR SURGERY,2706.0,1758.9,2235.16,2492.23,432.96000000000004,514.14,717.46,717.46,62303,Myelography lumbar injection
Hc Inj Myelogram Ls W Imaging,Outpatient,CPT® 62304,1,0361 - MINOR SURGERY,2706.0,1758.9,2235.16,2492.23,432.96000000000004,514.14,717.46,717.46,62304,Myelography lumbar injection
Hc Inj Myelogram 2 Or More Regions W Imaging,Outpatient,CPT® 62305,1,0361 - MINOR SURGERY,2706.0,1758.9,2235.16,2492.23,432.96000000000004,514.14,717.46,717.46,62305,Myelography lumbar injection
Hc Injection Dx Or Ther Epidur Or Subarach Cer Or Thor Wo Img,Outpatient,CPT® 62320,1,0361 - MINOR SURGERY,3044.0,1978.6000000000001,2514.34,2803.52,487.04,578.36,,,62320,Njx interlaminar crv/thrc
Hc Injection Dx Or Ther Epidur Or Subarach Cer Or Thor W Img,Outpatient,CPT® 62321,1,0361 - MINOR SURGERY,4629.0,3008.85,3823.55,4263.31,740.64,879.51,636.61,636.61,62321,Njx interlaminar crv/thrc
Hc Pain Procedure Lumbar Or Sacral Wo Fluoro 1st 30 Min,Outpatient,CPT® 62322,1,0361 - MINOR SURGERY,2577.0,1675.05,2128.6,2373.42,412.32,489.63,636.61,636.61,62322,Njx interlaminar lmbr/sac
Hc Injection Dx Or Ther Epidur Or Subarach Lum Or Sacr Wo Img,Outpatient,CPT® 62322,1,0361 - MINOR SURGERY,2577.0,1675.05,2128.6,2373.42,412.32,489.63,636.61,636.61,62322,Njx interlaminar lmbr/sac
Hc Injection Dx Or Ther Epidur Or Subarach Lum Or Sacr W Img,Outpatient,CPT® 62323,1,0361 - MINOR SURGERY,4161.0,2704.65,3436.99,3832.28,665.76,790.59,636.61,636.61,62323,Njx interlaminar lmbr/sac
Hc Injection Incl Cath Plcmnt Lumbar Or Sacral W Img,Outpatient,CPT® 62327,1,0361 - MINOR SURGERY,5414.0,3519.1,4471.96,4986.29,866.24,1028.66,,,62327,Njx interlaminar lmbr/sac
Hc Spinal Puncture Diagnostic Lumbar W Img,Outpatient,CPT® 62328,1,0361 - MINOR SURGERY,2355.0,1530.75,1945.23,2168.96,376.8,447.45,636.61,636.61,62328,Dx lmbr spi pnxr w/fluor/ct
Hc Spinal Puncture Therapeutic Drain Csf W Img,Outpatient,CPT® 62329,1,0361 - MINOR SURGERY,3431.0,2230.15,2834.01,3159.95,548.96,651.89,636.61,636.61,62329,Ther spi pnxr csf fluor/ct
Hc Impl Revsn Or Repos Intrathecal Or Epid Catheter,Outpatient,CPT® 62350,1,0510 - CLINIC,2735.0,1777.75,2259.11,2518.94,437.6,519.65,,,62350,Implant spinal canal cath
Hc Remove Spinal Catheter,Outpatient,CPT® 62355,1,0361 - MINOR SURGERY,1224.0,795.6,1011.02,1127.3,195.84,232.56,,,62355,Remove spinal canal catheter
Hc Implant Or Replace Programmable Pump,Outpatient,CPT® 62362,1,0361 - MINOR SURGERY,37085.0,24105.25,30632.21,34155.29,5933.6,7046.15,,,62362,Implant spine infusion pump
Hc Removal Subq Reservoir Or Pump,Outpatient,CPT® 62365,1,0361 - MINOR SURGERY,7173.0,4662.45,5924.9,6606.33,1147.68,1362.8700000000001,,,62365,Remove spine infusion device
Hc Elec Anlys Progrmble Pump W Reprgrm,Outpatient,CPT® 62368,1,0361 - MINOR SURGERY,1094.0,711.1,903.64,1007.57,175.04,207.86,,,62368,Analyze sp inf pump w/reprog
Hc Elec Anlys Progrmble Pump W Reprgrm And Refill,Outpatient,CPT® 62369,1,0361 - MINOR SURGERY,970.0,630.5,801.22,893.37,155.20000000000002,184.3,,,62369,Anal sp inf pmp w/reprg&fill
Hc Elec Anlys Prgrmble Pump W Rprgrm And Fill Phys Asst,Outpatient,CPT® 62370,1,0361 - MINOR SURGERY,970.0,630.5,801.22,893.37,155.20000000000002,184.3,,,62370,Anl sp inf pmp w/mdreprg&fil
Hc Perc Implant Neurostim Electrode Array,Outpatient,CPT® 63650,1,0361 - MINOR SURGERY,11811.0,7677.150000000001,9755.89,10877.93,1889.76,2244.09,6180.3,6180.3,63650,Implant neuroelectrodes
Hc Remove Neuro Electrode Perc Array,Outpatient,CPT® 63661,1,0361 - MINOR SURGERY,6398.0,4158.7,5284.75,5892.56,1023.6800000000001,1215.6200000000001,,,63661,Remove spine eltrd perq aray
REVISION W REPLACEMENT OF SPINAL NEUROSTIMULATOR ELECTRODE,Outpatient,CPT® 63663,1,0361 - MINOR SURGERY,9811.0,6377.150000000001,8103.89,9035.93,1569.76,1864.09,,,63663,Revise spine eltrd perq aray
Hc Ins Or Repl Spinal Neurostim Pulse Gen,Outpatient,CPT® 63685,1,0361 - MINOR SURGERY,3678.0,2390.7000000000003,3038.03,3387.44,588.48,698.82,29538.27,29538.27,63685,Insrt/redo spine n generator
Hc Revise Or Remove Neurostimulator,Outpatient,CPT® 63688,1,0361 - MINOR SURGERY,473.0,307.45,390.7,435.63,75.68,89.87,,,63688,Revise/remove neuroreceiver
Hc Injection Anes/steroid Trigeminal Nerve Each Branch,Outpatient,CPT® 64400,1,0361 - MINOR SURGERY,319.0,207.35,263.49,293.8,51.04,60.61,262.0,262.0,64400,Njx aa&/strd trigeminal nrv
INJECTION ANES/STEROID GREATER OCCIPITAL NERVE,Outpatient,CPT® 64405,1,0361 - MINOR SURGERY,1391.0,904.15,1148.97,1281.11,222.56,264.29,262.0,262.0,64405,Njx aa&/strd gr ocpl nrv
Hc Injection Anes Brachial Plexus,Outpatient,CPT® 64415,1,0361 - MINOR SURGERY,1502.0,976.3000000000001,1240.65,1383.34,240.32,285.38,825.08,825.08,64415,Njx aa&/strd brach plexus
INJECTION ANESTHETIC AGENT AND OR STEROID AXILLARY NERVE,Outpatient,CPT® 64417,1,0361 - MINOR SURGERY,2639.0,1715.3500000000001,2179.81,2430.52,422.24,501.41,825.08,825.08,64417,Njx aa&/strd axillary nrv
INJECTION ANES/STEROID SUPRASCAPULAR NERVE,Outpatient,CPT® 64418,1,0361 - MINOR SURGERY,3131.0,2035.15,2586.21,2883.65,500.96000000000004,594.89,636.61,636.61,64418,Njx aa&/strd sprscap nrv
INJECTION ANES/STEROID INTERCOSTAL NERVE SINGLE,Outpatient,CPT® 64420,1,0361 - MINOR SURGERY,1391.0,904.15,1148.97,1281.11,222.56,264.29,636.61,636.61,64420,Njx aa&/strd ntrcost nrv 1
INJECTION ANES/STEROID INTERCOSTAL NERVES MULT,Outpatient,CPT® 64421,1,0361 - MINOR SURGERY,2374.0,1543.1000000000001,1960.92,2186.45,379.84000000000003,451.06,825.08,825.08,64421,Njx aa&/strd ntrcost nrv ea
INJECTION ANES/STEROID ILIOINGUINAL OR ILEOHYPERGASTRIC NERVE,Outpatient,CPT® 64425,1,0361 - MINOR SURGERY,1391.0,904.15,1148.97,1281.11,222.56,264.29,636.61,636.61,64425,Njx aa&/strd ii ih nerves
INJECTION ANES/STEROID PUDENDAL NERVE,Outpatient,CPT® 64430,1,0361 - MINOR SURGERY,2721.0,1768.65,2247.55,2506.04,435.36,516.99,825.08,825.08,64430,Njx aa&/strd pudendal nerve
INJECTION ANES/STEROID SCIATIC NERVE SINGLE,Outpatient,CPT® 64445,1,0361 - MINOR SURGERY,3283.0,2133.9500000000003,2711.76,3023.64,525.28,623.77,,,64445,Njx aa&/strd sciatic nerve
INJECTION ANES/STEROID FEMORAL NERVE SINGLE,Outpatient,CPT® 64447,1,0361 - MINOR SURGERY,570.0,370.5,470.82,524.97,91.2,108.3,636.61,636.61,64447,Njx aa&/strd femoral nerve
INJECTION ANES/STEROID OTHER PERIPHERAL NERVE BRANCH,Outpatient,CPT® 64450,1,0361 - MINOR SURGERY,458.0,297.7,378.31,421.82,73.28,87.02,636.61,636.61,64450,Njx aa&/strd other pn/branch
Hc Injection Anes Si Joint Nerves W Img,Outpatient,CPT® 64451,1,0361 - MINOR SURGERY,2166.0,1407.9,1789.12,1994.89,346.56,411.54,636.61,636.61,64451,Njx aa&/strd nrv nrvtg si jt
Hc Injection Anes Genicular Nerve Brances W Img,Outpatient,CPT® 64454,1,0361 - MINOR SURGERY,2166.0,1407.9,1789.12,1994.89,346.56,411.54,636.61,636.61,64454,Njx aa&/strd gnclr nrv brnch
Hc Injection Anes Plantar Common Digital Nerve,Outpatient,CPT® 64455,1,0361 - MINOR SURGERY,104.0,67.60000000000001,85.9,95.78,16.64,19.76,262.0,262.0,64455,Njx aa&/strd pltr com dg nrv
Hc Paravertebral Block Thoracic W Img Single Injection,Outpatient,CPT® 64461,1,0361 - MINOR SURGERY,2577.0,1675.05,2128.6,2373.42,412.32,489.63,,,64461,Pvb thoracic single inj site
Hc Paravertebral Block Thoracic W Img Addl Injection,Outpatient,CPT® 64462,1,0361 - MINOR SURGERY,3135.0,2037.75,2589.51,2887.34,501.6,595.65,,,64462,Pvb thoracic 2nd+ inj site
Hc Injection Anes Trnsfrmnl Epi Crv Or Thrc W Img Sgl,Outpatient,CPT® 64479,1,0361 - MINOR SURGERY,2814.0,1829.1000000000001,2324.36,2591.69,450.24,534.66,825.08,825.08,64479,Njx aa&/strd tfrm epi c/t 1
